Entrenando Modelo Final...
DEBUG: Cargando 2000 señales desde Prm/mfcc_optimo...
DEBUG: Cargadas 2000 señales. Con etiqueta válida: 2000
DEBUG: Cargando 2000 señales desde Prm/mfcc_optimo...
DEBUG: Cargadas 2000 señales. Con etiqueta válida: 2000
--- Inicio entrenamiento: 400 épocas (17:56:47) ---
  Epo 1: Loss=1.5948 | Acc=25.65%
  Epo 2: Loss=1.5394 | Acc=36.40%
  Epo 3: Loss=1.4862 | Acc=47.20%
  Epo 4: Loss=1.4342 | Acc=57.60%
  Epo 5: Loss=1.3829 | Acc=64.35%
  Epo 6: Loss=1.3323 | Acc=69.25%
  Epo 7: Loss=1.2822 | Acc=73.35%
  Epo 8: Loss=1.2327 | Acc=76.55%
  Epo 9: Loss=1.1837 | Acc=79.05%
  Epo 10: Loss=1.1354 | Acc=81.10%
  Epo 11: Loss=1.0880 | Acc=82.40%
  Epo 12: Loss=1.0415 | Acc=83.40%
  Epo 13: Loss=0.9963 | Acc=84.60%
  Epo 14: Loss=0.9525 | Acc=85.70%
  Epo 15: Loss=0.9102 | Acc=86.30%
  Epo 16: Loss=0.8697 | Acc=86.55%
  Epo 17: Loss=0.8309 | Acc=86.90%
  Epo 18: Loss=0.7941 | Acc=87.15%
  Epo 19: Loss=0.7591 | Acc=87.75%
  Epo 20: Loss=0.7260 | Acc=87.95%
  Epo 21: Loss=0.6949 | Acc=88.50%
  Epo 22: Loss=0.6656 | Acc=88.65%
  Epo 23: Loss=0.6381 | Acc=89.00%
  Epo 24: Loss=0.6123 | Acc=89.40%
  Epo 25: Loss=0.5882 | Acc=89.65%
  Epo 26: Loss=0.5656 | Acc=89.75%
  Epo 27: Loss=0.5444 | Acc=90.00%
  Epo 28: Loss=0.5246 | Acc=90.35%
  Epo 29: Loss=0.5060 | Acc=90.45%
  Epo 30: Loss=0.4887 | Acc=90.80%
  Epo 31: Loss=0.4724 | Acc=90.80%
  Epo 32: Loss=0.4571 | Acc=91.10%
  Epo 33: Loss=0.4428 | Acc=91.30%
  Epo 34: Loss=0.4294 | Acc=91.45%
  Epo 35: Loss=0.4167 | Acc=91.45%
  Epo 36: Loss=0.4049 | Acc=91.40%
  Epo 37: Loss=0.3937 | Acc=91.60%
  Epo 38: Loss=0.3831 | Acc=91.60%
  Epo 39: Loss=0.3732 | Acc=91.60%
  Epo 40: Loss=0.3638 | Acc=91.75%
  Epo 41: Loss=0.3549 | Acc=91.85%
  Epo 42: Loss=0.3465 | Acc=91.95%
  Epo 43: Loss=0.3386 | Acc=92.00%
  Epo 44: Loss=0.3310 | Acc=92.15%
  Epo 45: Loss=0.3239 | Acc=92.25%
  Epo 46: Loss=0.3171 | Acc=92.30%
  Epo 47: Loss=0.3106 | Acc=92.35%
  Epo 48: Loss=0.3045 | Acc=92.40%
  Epo 49: Loss=0.2987 | Acc=92.40%
  Epo 50: Loss=0.2931 | Acc=92.45%
  Epo 51: Loss=0.2878 | Acc=92.70%
